transaction_id,description,user_description,amount,currency,transaction_date,posted_date,account_number,account_name,credit_debit,transaction_type,provider_name,merchant_name,budget_category,category_name,user_tags,notes,included
1001,PAY/SALARY FROM NEWPAY - NTPS,,3900.00,AUD,2026-01-02,2026-01-02,xxxx,ANZ One Offset Account,credit,payment,ANZ,Unknown,income,Salary/Regular Income,,,True
1002,PAY/SALARY FROM NEWPAY - NTPS,,3900.00,AUD,2026-01-16,2026-01-16,xxxx,ANZ One Offset Account,credit,payment,ANZ,Unknown,income,Salary/Regular Income,,,True
1003,PAYMENT FROM TRADE CREATIVE MEDIA PTY LT,,2950.00,AUD,2026-01-05,2026-01-05,xxxx,ANZ One Offset Account,credit,payment,ANZ,Unknown,income,Transfer In,,,True
1004,PAYMENT FROM TRADE CREATIVE MEDIA PTY LT,,2950.00,AUD,2026-01-19,2026-01-19,xxxx,ANZ One Offset Account,credit,payment,ANZ,Unknown,income,Transfer In,,,True
1005,PAYMENT                                 TO GOUD LAURENS SEBASTIAN,,-950.00,AUD,2026-01-06,2026-01-06,xxxx,ANZ One Offset Account,debit,payment,ANZ,Unknown,lifestyle,Transfer Out,,,True
1006,LOAN PAYMENT,,950.00,AUD,2026-01-06,2026-01-06,xxxx,Variable Home Loan,credit,payment,ANZ,Unknown,living,Mortgage,,,True
1007,PAYMENT                                 TO GOUD LAURENS SEBASTIAN,,-950.00,AUD,2026-01-13,2026-01-13,xxxx,ANZ One Offset Account,debit,payment,ANZ,Unknown,lifestyle,Transfer Out,,,True
1008,LOAN PAYMENT,,950.00,AUD,2026-01-13,2026-01-13,xxxx,Variable Home Loan,credit,payment,ANZ,Unknown,living,Mortgage,,,True
1009,PAYMENT                                 TO GOUD LAURENS SEBASTIAN,,-950.00,AUD,2026-01-20,2026-01-20,xxxx,ANZ One Offset Account,debit,payment,ANZ,Unknown,lifestyle,Transfer Out,,,True
1010,LOAN PAYMENT,,950.00,AUD,2026-01-20,2026-01-20,xxxx,Variable Home Loan,credit,payment,ANZ,Unknown,living,Mortgage,,,True
1011,PAYMENT                                 TO GOUD LAURENS SEBASTIAN,,-950.00,AUD,2026-01-27,2026-01-27,xxxx,ANZ One Offset Account,debit,payment,ANZ,Unknown,lifestyle,Transfer Out,,,True
1012,LOAN PAYMENT,,950.00,AUD,2026-01-27,2026-01-27,xxxx,Variable Home Loan,credit,payment,ANZ,Unknown,living,Mortgage,,,True
1013,INTEREST,,-2400.00,AUD,2026-01-28,2026-01-28,xxxx,Variable Home Loan,debit,payment,ANZ,Unknown,lifestyle,Other Expenses,,,True
1014,ANZ INTERNET BANKING PAYMENT 12345 TO ANZ CARD,,-3000.00,AUD,2026-01-25,2026-01-25,xxxx,ANZ One Offset Account,debit,payment,ANZ,Unknown,lifestyle,Credit Card Payments,,,True
1015,PAYMENT THANKYOU,,3000.00,AUD,2026-01-25,2026-01-25,xxxx,ANZ Rewards Black Visa,credit,payment,ANZ,Unknown,lifestyle,Credit Card Payments,,,True
1016,ANZ M-BANKING FUNDS TFER TRANSFER 1 TO 2,,-500.00,AUD,2026-01-10,2026-01-10,xxxx,ANZ One Offset Account,debit,payment,ANZ,Unknown,goals,Savings,,,True
1017,ANZ M-BANKING FUNDS TFER TRANSFER 1 FROM 2,,500.00,AUD,2026-01-10,2026-01-10,xxxx,ANZ Online Saver,credit,payment,ANZ,Unknown,goals,Savings,,,True
1018,WOOLWORTHS 1234        CASUARINA,,-180.00,AUD,2026-01-03,2026-01-03,xxxx,ANZ Rewards Black Visa,debit,payment,ANZ,Woolworths,living,Groceries,,,True
1019,WOOLWORTHS 1234        CASUARINA,,-180.00,AUD,2026-01-09,2026-01-09,xxxx,ANZ Rewards Black Visa,debit,payment,ANZ,Woolworths,living,Groceries,,,True
1020,WOOLWORTHS 1234        CASUARINA,,-180.00,AUD,2026-01-15,2026-01-15,xxxx,ANZ Rewards Black Visa,debit,payment,ANZ,Woolworths,living,Groceries,,,True
1021,WOOLWORTHS 1234        CASUARINA,,-180.00,AUD,2026-01-22,2026-01-22,xxxx,ANZ Rewards Black Visa,debit,payment,ANZ,Woolworths,living,Groceries,,,True
1022,JACANA ENERGY           DARWIN,,-310.00,AUD,2026-01-12,2026-01-12,xxxx,ANZ Rewards Black Visa,debit,payment,ANZ,Jacana Energy,living,Utilities,,,True
1023,ANZ MOBILE BANKING PAYMENT 555 TO Milkwood Steiner School,,-450.00,AUD,2026-01-14,2026-01-14,xxxx,ANZ One Offset Account,debit,payment,ANZ,Unknown,lifestyle,Transfer Out,,,True
1024,PAYMENT                                 TO WAGAMAN OSHC     F000,,-35.00,AUD,2026-01-18,2026-01-18,xxxx,ANZ One Offset Account,debit,payment,ANZ,Unknown,lifestyle,Uncategorised,,,True
1025,CHARLIES OF DARWIN      DARWIN,,-120.00,AUD,2026-01-21,2026-01-21,xxxx,ANZ Rewards Black Visa,debit,payment,ANZ,Unknown,lifestyle,Restaurants,,,True
1026,PAYMENT FROM A FRIEND,,50.00,AUD,2026-01-24,2026-01-24,xxxx,ANZ One Offset Account,credit,payment,ANZ,Unknown,income,Transfer In,,,True
1027,PAY/SALARY FROM NEWPAY - NTPS,,3900.00,AUD,2026-02-02,2026-02-02,xxxx,ANZ One Offset Account,credit,payment,ANZ,Unknown,income,Salary/Regular Income,,,True
1028,PAY/SALARY FROM NEWPAY - NTPS,,3900.00,AUD,2026-02-16,2026-02-16,xxxx,ANZ One Offset Account,credit,payment,ANZ,Unknown,income,Salary/Regular Income,,,True
1029,PAYMENT FROM TRADE CREATIVE MEDIA PTY LT,,2950.00,AUD,2026-02-05,2026-02-05,xxxx,ANZ One Offset Account,credit,payment,ANZ,Unknown,income,Transfer In,,,True
1030,PAYMENT FROM TRADE CREATIVE MEDIA PTY LT,,2950.00,AUD,2026-02-19,2026-02-19,xxxx,ANZ One Offset Account,credit,payment,ANZ,Unknown,income,Transfer In,,,True
1031,PAYMENT                                 TO GOUD LAURENS SEBASTIAN,,-950.00,AUD,2026-02-06,2026-02-06,xxxx,ANZ One Offset Account,debit,payment,ANZ,Unknown,lifestyle,Transfer Out,,,True
1032,LOAN PAYMENT,,950.00,AUD,2026-02-06,2026-02-06,xxxx,Variable Home Loan,credit,payment,ANZ,Unknown,living,Mortgage,,,True
1033,PAYMENT                                 TO GOUD LAURENS SEBASTIAN,,-950.00,AUD,2026-02-13,2026-02-13,xxxx,ANZ One Offset Account,debit,payment,ANZ,Unknown,lifestyle,Transfer Out,,,True
1034,LOAN PAYMENT,,950.00,AUD,2026-02-13,2026-02-13,xxxx,Variable Home Loan,credit,payment,ANZ,Unknown,living,Mortgage,,,True
1035,PAYMENT                                 TO GOUD LAURENS SEBASTIAN,,-950.00,AUD,2026-02-20,2026-02-20,xxxx,ANZ One Offset Account,debit,payment,ANZ,Unknown,lifestyle,Transfer Out,,,True
1036,LOAN PAYMENT,,950.00,AUD,2026-02-20,2026-02-20,xxxx,Variable Home Loan,credit,payment,ANZ,Unknown,living,Mortgage,,,True
1037,PAYMENT                                 TO GOUD LAURENS SEBASTIAN,,-950.00,AUD,2026-02-27,2026-02-27,xxxx,ANZ One Offset Account,debit,payment,ANZ,Unknown,lifestyle,Transfer Out,,,True
1038,LOAN PAYMENT,,950.00,AUD,2026-02-27,2026-02-27,xxxx,Variable Home Loan,credit,payment,ANZ,Unknown,living,Mortgage,,,True
1039,INTEREST,,-2400.00,AUD,2026-02-28,2026-02-28,xxxx,Variable Home Loan,debit,payment,ANZ,Unknown,lifestyle,Other Expenses,,,True
1040,ANZ INTERNET BANKING PAYMENT 12345 TO ANZ CARD,,-3000.00,AUD,2026-02-25,2026-02-25,xxxx,ANZ One Offset Account,debit,payment,ANZ,Unknown,lifestyle,Credit Card Payments,,,True
1041,PAYMENT THANKYOU,,3000.00,AUD,2026-02-25,2026-02-25,xxxx,ANZ Rewards Black Visa,credit,payment,ANZ,Unknown,lifestyle,Credit Card Payments,,,True
1042,ANZ M-BANKING FUNDS TFER TRANSFER 1 TO 2,,-500.00,AUD,2026-02-10,2026-02-10,xxxx,ANZ One Offset Account,debit,payment,ANZ,Unknown,goals,Savings,,,True
